Date,Open,High,Low,Close
2025-02-25,88807.64000000,89139.75000000,88675.14000000,88680.40000000
2025-02-26,88680.39000000,88690.00000000,88148.48000000,88150.00000000
2025-02-26,88150.01000000,88850.07000000,88149.98000000,88705.66000000
2025-02-26,88705.66000000,89198.23000000,88434.78000000,89018.87000000
2025-02-26,89018.86000000,89414.15000000,88886.35000000,88900.00000000
2025-02-26,88900.01000000,89245.29000000,88673.11000000,88693.95000000
2025-02-26,88693.96000000,88890.00000000,88392.45000000,88423.60000000
2025-02-26,88423.59000000,88940.01000000,88422.79000000,88920.18000000
2025-02-26,88920.18000000,89163.39000000,88399.43000000,88720.02000000
2025-02-26,88720.01000000,88807.80000000,88138.00000000,88484.54000000
2025-02-26,88484.54000000,89289.67000000,88464.00000000,89115.98000000
2025-02-26,89115.99000000,89314.45000000,88882.35000000,89262.66000000
2025-02-26,89262.67000000,89270.00000000,88534.55000000,88616.80000000
2025-02-26,88616.80000000,88674.00000000,87616.24000000,87938.81000000
2025-02-26,87938.81000000,88090.90000000,87031.73000000,87191.99000000
2025-02-26,87191.99000000,87741.33000000,85418.72000000,87621.22000000
2025-02-26,87621.21000000,88530.00000000,87422.00000000,87567.53000000
2025-02-26,87567.53000000,87806.62000000,86280.82000000,86805.99000000
2025-02-26,86806.00000000,87303.47000000,85687.81000000,86051.33000000
2025-02-26,86051.33000000,86498.00000000,83418.00000000,84258.94000000
2025-02-26,84258.25000000,85084.64000000,83745.88000000,83856.99000000
2025-02-26,83856.98000000,84620.00000000,82256.01000000,84385.89000000
2025-02-26,84384.34000000,85131.82000000,83464.00000000,84610.86000000
2025-02-26,84611.99000000,85400.00000000,84119.97000000,84433.51000000
2025-02-26,84433.50000000,84782.25000000,83918.38000000,84250.09000000
2025-02-27,84250.09000000,84808.11000000,84026.96000000,84742.39000000
2025-02-27,84742.38000000,85466.55000000,84324.01000000,84763.25000000
2025-02-27,84763.25000000,85214.25000000,84199.46000000,84295.20000000
2025-02-27,84295.19000000,85342.50000000,84272.91000000,85226.32000000
2025-02-27,85226.32000000,85369.39000000,84694.29000000,85161.93000000
2025-02-27,85161.93000000,85944.76000000,85057.67000000,85883.13000000
2025-02-27,85883.13000000,86737.00000000,85707.64000000,86265.84000000
2025-02-27,86265.84000000,86600.00000000,86106.26000000,86272.01000000
2025-02-27,86272.01000000,86447.61000000,85900.00000000,86078.47000000
2025-02-27,86078.47000000,86352.51000000,85846.87000000,86169.81000000
2025-02-27,86169.81000000,87073.42000000,86026.38000000,87013.46000000
2025-02-27,87013.47000000,87078.46000000,86389.86000000,86698.60000000
2025-02-27,86698.60000000,86795.90000000,86252.53000000,86330.59000000
2025-02-27,86330.59000000,86769.93000000,85778.98000000,86117.57000000
2025-02-27,86117.57000000,86411.76000000,84951.51000000,84968.65000000
2025-02-27,84969.99000000,86145.52000000,84640.75000000,85500.84000000
2025-02-27,85500.84000000,85691.51000000,84355.04000000,84471.69000000
2025-02-27,84471.70000000,85039.67000000,84355.05000000,84597.00000000
2025-02-27,84597.00000000,84990.24000000,84516.00000000,84640.00000000
2025-02-27,84640.00000000,84647.96000000,83614.75000000,84113.98000000
2025-02-27,84113.98000000,84164.97000000,82716.49000000,83524.98000000
2025-02-27,83522.02000000,84433.97000000,83223.74000000,84409.18000000
2025-02-27,84409.18000000,84758.63000000,83881.08000000,84716.34000000
2025-02-27,84716.01000000,84927.84000000,84422.02000000,84708.58000000
